IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time,geometry
,,Westfield Center,60 East Silver Street,Westfield,1085,Western Massachusetts,,,,Nursing home,60 east silver street,westfield center,,4.0,POINT (-72.73956114707532 42.1147598)
,,OVERLOOK MASONIC HEALTH CENTER,88 MASONIC HOME ROAD,CHARLTON,1507,,,,,Nursing home,88 masonic home road,overlook masonic health center,,4.0,POINT (-71.97619234714296 42.13911275)
,,Hunt Nursing & Rehabilitation Center,90 Lindall Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,90 lindall street,hunt nursing  rehabilitation center,,10.0,POINT (-70.94359556912616 42.574712149999996)
,,Port Healthcare Center,6 Hale Street,Newburyport,1950,Northeastern Massachusetts,,,,Nursing home,6 hale street,port healthcare center,,5.0,POINT (-70.89255703554531 42.809032650000006)
,,Spaulding Nursing & Therapy Center - Brighton,100 North Beacon Street,Boston,2109,Metro Boston,,,,Nursing home,100 north beacon street,spaulding nursing  therapy center  brighton,,21.0,POINT (-71.14343198687135 42.35414425)
,,Bethany Skilled Nursing Facility,97 Bethany Road,Framingham,1701,Metro West,,,,Nursing home,97 bethany road,bethany skilled nursing facility,,4.0,POINT (-71.43058086417953 42.26918339454143)
,,Pope Nursing Home,140 Webb Street,Weymouth,2188,Metro South,,,,Nursing home,140 webb street,pope nursing home,,9.0,POINT (-70.96226691624932 42.22281125)
,,Catholic Memorial Home,2446 Highland Avenue,Fall River,2720,Southcoast,,,,Nursing home,2446 highland avenue,catholic memorial home,,5.0,POINT (-71.12778915697172 41.73521465)
,,Sixteen Acres Healthcare Center,215 Bicentennial Highway,Springfield,1118,Western Massachusetts,,,,Nursing home,215 bicentennial highway,sixteen acres healthcare center,,4.0,POINT (-72.50509214731676 42.095480800000004)
,,Clifton Rehabilitation Nursing Center,500 Wilbur Avenue,Somerset,2725,Southcoast,,,,Nursing home,500 wilbur avenue,clifton rehabilitation nursing center,,4.0,POINT (-71.16843052114558 41.72075205)
,,Blaire House of Milford,20 Claflin Street,Milford,1757,Metro West,,,,Nursing home,20 claflin street,blaire house of milford,,2.0,POINT (-71.51680334935877 42.137601149999995)
,,Hathaway Manor Extended Care,863 Hathaway Road,New Bedford,2740,Southcoast,,,,Nursing home,863 hathaway road,hathaway manor extended care,,4.0,POINT (-70.9669902070805 41.6512968)
,,RegalCare at Taunton,68 Dean Street,Taunton,2780,Metro South,,,,Nursing home,68 dean street,regalcare at taunton,,5.0,POINT (-71.07901221565147 41.904424750000004)
,,Southeast Health Care Center,184 Lincoln Street,Easton,2356,Metro South,,,,Nursing home,184 lincoln street,southeast health care center,,5.0,POINT (-71.11947646404934 42.06665855)
,,D'Youville Care for Advanced Therapy,1071 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,,,,Nursing home,1071 varnum avenue,dyouville care for advanced therapy,,3.0,POINT (-71.366758 42.6454379)
,,Palmer Healthcare Center,250 Shearer Street,Palmer,1069,Western Massachusetts,,,,Nursing home,250 shearer street,palmer healthcare center,,5.0,POINT (-72.33353526811578 42.168634600000004)
,,North Adams Commons Nursing & Rehabilitation Center,175 Franklin Street,North Adams,1247,Western Massachusetts,,,,Nursing home,175 franklin street,north adams commons nursing  rehabilitation center,,1.0,POINT (-73.10094536747326 42.70707)
,,Royal Norwell Nursing & Rehabilitation Center,329 Washington Street,Norwell,2061,Metro South,,,,Nursing home,329 washington street,royal norwell nursing  rehabilitation center,,6.0,POINT (-70.86354427737673 42.16319935)
,,Timothy Daniels House,84 Elm Street,Holliston,1746,Metro West,,,,Nursing home,84 elm street,timothy daniels house,,5.0,POINT (-71.42493275079366 42.20234485)
,,Nemasket Healthcare Center,314 Marion Road,Middleborough,2346,Metro South,,,,Nursing home,314 marion road,nemasket healthcare center,,1.0,POINT (-70.88353116608144 41.829677950000004)
,,Care One at Northampton,548 Elm Street,Northampton,1060,Western Massachusetts,,,,Nursing home,548 elm street,care one at northampton,,5.0,POINT (-72.65806950206945 42.3272456)
,,Life Care Center of Stoneham,25 Woodland Road,Stoneham,2180,Northeastern Massachusetts,,,,Nursing home,25 woodland road,life care center of stoneham,,21.0,POINT (-71.09076944938434 42.450448800000004)
,,RegalCare at Greenfield,95 Laurel Street,Greenfield,1302,Western Massachusetts,,,,Nursing home,95 laurel street,regalcare at greenfield,,2.0,POINT (-72.61795013515538 42.58163075)
,,Copley at Stoughton Nursing Care Center,380 Sumner Street,Stoughton,2072,Metro South,,,,Nursing home,380 sumner street,copley at stoughton nursing care center,,8.0,POINT (-71.08865040101732 42.1141661)
,,Skilled Nursing Facility at North Hill,865 Central Avenue,Needham,2492,Metro Boston,,,,Nursing home,865 central avenue,skilled nursing facility at north hill,,18.0,POINT (-71.25420518075296 42.2905133)
,,Eastpointe Rehabilitation Center,255 Central Avenue,Chelsea,2150,Metro Boston,,,,Nursing home,255 central avenue,eastpointe rehabilitation center,,22.0,POINT (-71.02650270378646 42.38804035)
,,Oxford Rehabilitation & Health Care Center,689 Main Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,689 main street,oxford rehabilitation  health care center,,5.0,POINT (-71.08512512499847 42.79561875)
,,Glen Ridge Nursing Care Center,120 Murray Street,Medford,2155,Metro Boston,,,,Nursing home,120 murray street,glen ridge nursing care center,,20.0,POINT (-71.08853906104483 42.42974035)
,,Riverbend of South Natick,34 South Lincoln Street,Natick,1760,Metro West,,,,Nursing home,34 south lincoln street,riverbend of south natick,,6.0,POINT (-71.3105334275248 42.2731232)
,,Jewish Healthcare Center,629 Salisbury Street,Worcester,1609,Central Massachusetts,,,,Nursing home,629 salisbury street,jewish healthcare center,,6.0,POINT (-71.83884502364597 42.2932249)
,,Garden Place Healthcare,193-195 Pleasant Street,Attleboro,2703,Metro West,,,,Nursing home,193195 pleasant street,garden place healthcare,,3.0,POINT (-71.27325564751882 41.9502721)
,,The Woodlands Inn at Edgewood,575 Osgood Street,North Andover,1845,Northeastern Massachusetts,,,,Nursing home,575 osgood street,the woodlands inn at edgewood,,6.0,POINT (-71.10447421114826 42.700032750000005)
,,Ledgewood Rehabilitation & Skilled Nursing Center,87 Herrick Street,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,87 herrick street,ledgewood rehabilitation  skilled nursing center,,6.0,POINT (-70.87472842494441 42.56523335)
,,Plymouth Rehabilitation & Health Care Center,123 South Street,Plymouth,2360,Metro South,,,,Nursing home,123 south street,plymouth rehabilitation  health care center,,1.0,POINT (-70.65938193934934 41.9430542)
,,Hillcrest Commons Nursing & Rehabilitation Center,169 Valentine Road,Pittsfield,1201,Western Massachusetts,,,,Nursing home,169 valentine road,hillcrest commons nursing  rehabilitation center,,1.0,POINT (-73.27881888362072 42.45915455)
,,The Highlands,335 Nichols Road,Fitchburg,1420,Central Massachusetts,,,,Nursing home,335 nichols road,the highlands,,3.0,POINT (-71.80841914533654 42.598254850000004)
,,GOVERNORS CENTER,66 BROAD STREET,WESTFIELD,185,,,,,Nursing home,66 broad street,governors center,,4.0,POINT (-72.74727440058362 42.1165587)
,,Vantage at Wilbraham LLC,9 Maple Street,Wilbraham,1095,Western Massachusetts,,,,Nursing home,9 maple street,vantage at wilbraham llc,,4.0,POINT (-72.42537320933242 42.150018599999996)
,,Whittier Bradford Transitional Care Unit,145 Ward Hill Avenue,Haverhill,1835,Northeastern Massachusetts,,,,Nursing home,145 ward hill avenue,whittier bradford transitional care unit,,6.0,POINT (-71.11899563507995 42.7615983)
,,Jeffrey & Susan Brudnick Center for Living,240 Lynnfield Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,240 lynnfield street,jeffrey  susan brudnick center for living,,12.0,POINT (-70.97106354209534 42.5141736)
,,Care One at Concord,57 Old Road to Nine Acre Corner,Concord,1742,Northeastern Massachusetts,,,,Nursing home,57 old road to nine acre corner,care one at concord,,7.0,POINT (-71.37367185769064 42.453779100000006)
,,Care One at Redstone,135 Benton Drive,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,135 benton drive,care one at redstone,,3.0,POINT (-72.53143410709065 42.05060015)
,,Alliance Health at Rosewood,22 Johnson Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,22 johnson street,alliance health at rosewood,,14.0,POINT (-70.99288129112277 42.54644385)
,,Royal of Cotuit,161 Falmouth Road,Mashpee,2649,Cape and Islands,,,,Nursing home,161 falmouth road,royal of cotuit,,2.0,POINT (-70.46769809885944 41.6314877)
,,South Dennis Healthcare,1 Love Lane,South Dennis,2660,Cape and Islands,,,,Nursing home,1 love lane,south dennis healthcare,,1.0,POINT (-70.13271830347861 41.699084799999994)
,,East Longmeadow Skilled Nursing Center,305 Maple Street,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,305 maple street,east longmeadow skilled nursing center,,3.0,POINT (-72.53477173090478 42.06053465)
,,Blackstone Valley Health and Rehabilitation,447 Hill Street,Northbridge,1588,Central Massachusetts,,,,Nursing home,447 hill street,blackstone valley health and rehabilitation,,4.0,POINT (-71.67163186524795 42.12170515)
,,Care One at Lexington,178 Lowell Street,Lexington,2420,Northeastern Massachusetts,,,,Nursing home,178 lowell street,care one at lexington,,17.0,POINT (-71.19310317632329 42.438544300000004)
,,Elaine Center at Hadley,20 North Maple Street,Hadley,1035,Western Massachusetts,,,,Nursing home,20 north maple street,elaine center at hadley,,2.0,POINT (-72.55261320852942 42.3615107)
,,Armenian Nursing & Rehabilitation Center,431 Pond Street,Boston,2130,Metro Boston,,,,Nursing home,431 pond street,armenian nursing  rehabilitation center,,20.0,POINT (-71.1321602569144 42.310128500000005)
,,Wingate at Silver Lake,17 Chipman Way,Kingston,2364,Metro South,,,,Nursing home,17 chipman way,wingate at silver lake,,2.0,POINT (-70.78988939618995 42.0115267956362)
,,Presentation Rehab and Skilled Care Center,10 Bellamy Street,Boston,2135,Metro Boston,,,,Nursing home,10 bellamy street,presentation rehab and skilled care center,,23.0,POINT (-71.16853348093532 42.354847649999996)
,,Chestnut Hill of East Longmeadow,32 Chestnut Street,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,32 chestnut street,chestnut hill of east longmeadow,,4.0,POINT (-72.50214900582449 42.0532618)
,,Parsons Hill Rehabilitation & Health Care Center,1350 Main Street,Worcester,1603,Central Massachusetts,,,,Nursing home,1350 main street,parsons hill rehabilitation  health care center,,4.0,POINT (-71.85047518091996 42.2416259)
,,Serenity Hill Nursing Center,655 Dedham Street,Wrentham,2093,Metro West,,,,Nursing home,655 dedham street,serenity hill nursing center,,3.0,POINT (-71.30689224201797 42.084901)
,,Care One at Brookline,99 Park Street,Brookline,2446,Metro Boston,,,,Nursing home,99 park street,care one at brookline,,20.0,POINT (-71.12387648120338 42.33972369999999)
,,Waterview Lodge Rehabilitation & Healthcare,250 West Union Street,Ashland,1721,Metro West,,,,Nursing home,250 west union street,waterview lodge rehabilitation  healthcare,,4.0,POINT (-71.48110671819278 42.24214015)
,,Aspen Hill Rehabilitation & Healthcare Center,190 North Avenue,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,190 north avenue,aspen hill rehabilitation  healthcare center,,5.0,POINT (-71.08349835346564 42.801287200000004)
,,West Newton Healthcare,25 Armory Street,Newton,2465,Metro Boston,,,,Nursing home,25 armory street,west newton healthcare,,24.0,POINT (-71.21988040449209 42.3504314)
,,Windemere Nursing & Rehabilitation Center,1 Hospital Road,Oak Bluffs,2557,Cape and Islands,,,,Nursing home,1 hospital road,windemere nursing  rehabilitation center,,1.0,POINT (-70.57989080295974 41.46063105)
,,Winchester Rehabilitation and Nursing Center,223 Swanton Street,Winchester,1890,Northeastern Massachusetts,,,,Nursing home,223 swanton street,winchester rehabilitation and nursing center,,19.0,POINT (-71.13927131946744 42.4616579)
,,Quabbin Valley Healthcare,821 Daniel Shays Highway,Athol,1331,Central Massachusetts,,,,Nursing home,821 daniel shays highway,quabbin valley healthcare,,2.0,POINT (-72.26965998157681 42.57243735)
,,Dwyer Home,25 Stonehaven Drive,Weymouth,2190,Metro South,,,,Nursing home,25 stonehaven drive,dwyer home,,5.0,POINT (-70.94970431672323 42.1589443)
,,Mont Marie Rehabilitation & Healthcare Center,36 Lower Westfield Road,Holyoke,1040,Western Massachusetts,,,,Nursing home,36 lower westfield road,mont marie rehabilitation  healthcare center,,6.0,POINT (-72.63487943575169 42.16976459999999)
,,Parkway Health and Rehabilitation Center,1190 VFW Parkway,Boston,2132,Metro Boston,,,,Nursing home,1190 vfw parkway,parkway health and rehabilitation center,,20.0,POINT (-71.1703629049206 42.28120455)
,,Laurel Ridge Rehab and Skilled Care Center,174 Forest Hills Street,Boston,2130,Metro Boston,,,,Nursing home,174 forest hills street,laurel ridge rehab and skilled care center,,20.0,POINT (-71.10237442688054 42.306401050000005)
,,AdviniaCare Newton Wellesley,694 Worcester Street,Wellesley,2482,Metro Boston,,,,Nursing home,694 worcester street,adviniacare newton wellesley,,23.0,POINT (-71.29695224181677 42.3055241)
,,Westborough Healthcare,8 Colonial Drive,Westborough,1581,Central Massachusetts,,,,Nursing home,8 colonial drive,westborough healthcare,,7.0,POINT (-71.60893826083459 42.2727712)
,,"Penacook Place, Inc.",150 Water Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,150 water street,penacook place inc,,5.0,POINT (-71.07182802882255 42.77508795)
,,Cedarwood Gardens,130 Chestnut Street,Franklin,2038,Metro West,,,,Nursing home,130 chestnut street,cedarwood gardens,,3.0,POINT (-71.38413379825735 42.08345955)
,,RegalCare at Quincy,211 Franklin Street,Quincy,2169,Metro South,,,,Nursing home,211 franklin street,regalcare at quincy,,14.0,POINT (-71.00237199954586 42.23691085)
,,Royal of Fairhaven Nursing Center,184 Main Street,Fairhaven,2719,Southcoast,,,,Nursing home,184 main street,royal of fairhaven nursing center,,4.0,POINT (-70.90865208079187 41.646106)
,,"Fall River Jewish Home, Inc.",538 Robeson Street,Fall River,2720,Southcoast,,,,Nursing home,538 robeson street,fall river jewish home inc,,4.0,POINT (-71.1432141111111 41.707225)
,,Bear Mountain at Reading,1364 Main Street,Reading,1867,Northeastern Massachusetts,,,,Nursing home,1364 main street,bear mountain at reading,,15.0,POINT (-71.10585713492983 42.55581805)
,,Cardigan Nursing & Rehabilitation Center,59 Country Way,Scituate,2066,Metro South,,,,Nursing home,59 country way,cardigan nursing  rehabilitation center,,1.0,POINT (-70.74862935148246 42.1806871)
,,RegalCare at Worcester,25 Oriol Drive,Worcester,1605,Central Massachusetts,,,,Nursing home,25 oriol drive,regalcare at worcester,,6.0,POINT (-71.7668897446588 42.29596775)
,,The Berkeley Retirement Home,150 Berkeley Street,Lawrence,1841,Northeastern Massachusetts,,,,Nursing home,150 berkeley street,the berkeley retirement home,,9.0,POINT (-71.16392537985021 42.72074925)
,,Life Care Center of Acton,1 Great Road,Acton,1720,Northeastern Massachusetts,,,,Nursing home,1 great road,life care center of acton,,7.0,POINT (-71.40695215710116 42.47465365)
,,"Campion Health & Wellness, Inc.",319 Concord Road,Weston,2193,Metro Boston,,,,Nursing home,319 concord road,campion health  wellness inc,,12.0,POINT (-71.32174272818159 42.3833485)
,,Carvalho Grove Health and Rehabilitation Center,273 Oak Grove Avenue,Fall River,2723,Southcoast,,,,Nursing home,273 oak grove avenue,carvalho grove health and rehabilitation center,,4.0,POINT (-71.13269603191759 41.70174255)
,,D'Youville Senior Care,981 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,,,,Nursing home,981 varnum avenue,dyouville senior care,,3.0,POINT (-71.36487149058269 42.64591185)
,,Fitchburg Healthcare,1199 John Fitch Highway,Fitchburg,1420,Central Massachusetts,,,,Nursing home,1199 john fitch highway,fitchburg healthcare,,4.0,POINT (-71.7934564896979 42.59851915)
,,Watertown Rehabilitation and Nursing Center,59 Coolidge Hill Road,Watertown,2472,Metro Boston,,,,Nursing home,59 coolidge hill road,watertown rehabilitation and nursing center,,21.0,POINT (-71.1528107445055 42.36721805)
,,Whittier Westborough Transitional Care Unit,150 Flanders Road,Westborough,1581,Central Massachusetts,,,,Nursing home,150 flanders road,whittier westborough transitional care unit,,9.0,POINT (-71.5679154706427 42.2770724)
,,Stone Rehabilitation and Senior Living,277 Elliot Street,Newton,2464,Metro Boston,,,,Nursing home,277 elliot street,stone rehabilitation and senior living,,25.0,POINT (-71.22061294958974 42.313544050000004)
,,Mount Greylock Extended Care Facility,1000 North Street,Pittsfield,1201,Western Massachusetts,,,,Nursing home,1000 north street,mount greylock extended care facility,,1.0,POINT (-73.24334506233173 42.4680348)
,,Southshore Health Care Center,115 North Avenue,Rockland,2370,Metro South,,,,Nursing home,115 north avenue,southshore health care center,,5.0,POINT (-70.92237824494691 42.13496385)
,,Sherrill House,135 South Huntington Avenue,Boston,2130,Metro Boston,,,,Nursing home,135 south huntington avenue,sherrill house,,20.0,POINT (-71.11094200686739 42.32791947626272)
,,Holy Trinity Eastern Orthodox Nursing & Rehabilitation Center,300 Barber Avenue,Worcester,1606,Central Massachusetts,,,,Nursing home,300 barber avenue,holy trinity eastern orthodox nursing  rehabilitation center,,6.0,POINT (-71.7982883685108 42.295748599999996)
,,Care One at Lowell,19 Varnum Street,Lowell,1850,Northeastern Massachusetts,,,,Nursing home,19 varnum street,care one at lowell,,5.0,POINT (-71.29979019978185 42.6520846)
,,Savoy Nursing & Rehab Center,670 County Street,New Bedford,2740,Southcoast,,,,Nursing home,670 county street,savoy nursing  rehab center,,4.0,POINT (-70.93093644991788 41.64274875)
,,Dexter House Healthcare,120 Main Street,Malden,2148,Metro Boston,,,,Nursing home,120 main street,dexter house healthcare,,19.0,POINT (-71.06618960434116 42.41918695)
,,Mount Carmel Care Center,320 Pittsfield Road,Lenox,1240,Western Massachusetts,,,,Nursing home,320 pittsfield road,mount carmel care center,,2.0,POINT (-73.2706999222404 42.3939874)
,,Fairhaven Healthcare Center,476 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,,,,Nursing home,476 varnum avenue,fairhaven healthcare center,,4.0,POINT (-71.34721987550876 42.6443795)
,,Pilgrim Rehabilitation & Skilled Nursing Center,96 Forest Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,96 forest street,pilgrim rehabilitation  skilled nursing center,,14.0,POINT (-70.95557442492182 42.528469349999995)
,,Sippican Healthcare Center,15 Mill Street,Marion,2738,Southcoast,,,,Nursing home,15 mill street,sippican healthcare center,,4.0,POINT (-70.7725958636297 41.71414569747417)
,,Maristhill Nursing & Rehabilitation Center,66 Newton Street,Waltham,2453,Metro Boston,,,,Nursing home,66 newton street,maristhill nursing  rehabilitation center,,22.0,POINT (-71.22735615885708 42.3753569)
,,RegalCare at Lowell,30 Princeton Boulevard,Lowell,1851,Northeastern Massachusetts,,,,Nursing home,30 princeton boulevard,regalcare at lowell,,5.0,POINT (-71.33222118136331 42.6351206)
,,Alden Court Nursing Care & Rehabilitation Center,389 Alden Road,Fairhaven,2719,Southcoast,,,,Nursing home,389 alden road,alden court nursing care  rehabilitation center,,4.0,POINT (-70.90239993216616 41.6653607)
,,Kimball Farms Nursing Care Center,40 Sunset Avenue,Lenox,1240,Western Massachusetts,,,,Nursing home,40 sunset avenue,kimball farms nursing care center,,2.0,POINT (-73.28778674276077 42.35951405)
,,The Pavilion Rehabilitation and Nursing Center,876 Falmouth Road,Hyannis,2601,Cape and Islands,,,,Nursing home,876 falmouth road,the pavilion rehabilitation and nursing center,,1.0,POINT (-70.31909857281401 41.6619029)
,,Poet's Seat Healthcare Center,359 High Street,Greenfield,1301,Western Massachusetts,,,,Nursing home,359 high street,poets seat healthcare center,,2.0,POINT (-72.58135309677492 42.6033006)
,,RegalCare at Holyoke,282 Cabot Street,Holyoke,1040,Western Massachusetts,,,,Nursing home,282 cabot street,regalcare at holyoke,,6.0,POINT (-72.61963011828678 42.2065025)
,,Care One at Holyoke,260 Easthampton Road,Holyoke,1040,Western Massachusetts,,,,Nursing home,260 easthampton road,care one at holyoke,,6.0,POINT (-72.64738622648838 42.226187249999995)
,,Loomis Lakeside at Reeds Landing,807 Wilbraham Road,Springfield,1109,Western Massachusetts,,,,Nursing home,807 wilbraham road,loomis lakeside at reeds landing,,4.0,POINT (-72.5341133 42.1108434)
,,Berkshire Place,290 South Street,Pittsfield,1201,Western Massachusetts,,,,Nursing home,290 south street,berkshire place,,1.0,POINT (-73.25677853480586 42.440485002637104)
,,Alliance Health at Marina Bay,2 Seaport Drive,Quincy,2171,Metro Boston,,,,Nursing home,2 seaport drive,alliance health at marina bay,,20.0,POINT (-71.03019020136307 42.29287335)
,,Care One at Newton,2101 Washington Street,Newton,2462,Metro Boston,,,,Nursing home,2101 washington street,care one at newton,,26.0,POINT (-71.24996456580384 42.3301978)
,,Royal Wood Mill Center,800 Essex Street,Lawrence,1841,Northeastern Massachusetts,,,,Nursing home,800 essex street,royal wood mill center,,8.0,POINT (-71.1755487945157 42.70162725)
,,Phillips Manor Nursing Home,28 Linwood Road,Lynn,1905,Northeastern Massachusetts,,,,Nursing home,28 linwood road,phillips manor nursing home,,10.0,POINT (-70.964796190519 42.4703546)
,,Charlene Manor Extended Care Facility,130 Colrain Road,Greenfield,1301,Western Massachusetts,,,,Nursing home,130 colrain road,charlene manor extended care facility,,2.0,POINT (-72.62336230812821 42.59140995)
,,"Vantage at Hampden, LLC",34 Main Street,Hampden,1036,Western Massachusetts,,,,Nursing home,34 main street,vantage at hampden llc,,3.0,POINT (-72.42680994822751 42.14902185)
,,Timberlyn Heights Nursing and Rehabilitation,320 Maple Avenue,Great Barrington,1230,Western Massachusetts,,,,Nursing home,320 maple avenue,timberlyn heights nursing and rehabilitation,,1.0,POINT (-73.37707900285446 42.18317635)
,,Springside Rehabilitation and Skilled Care Center,255 Lebanon Avenue,Pittsfield,1201,Western Massachusetts,,,,Nursing home,255 lebanon avenue,springside rehabilitation and skilled care center,,1.0,POINT (-73.3065210384207 42.4320582)
,,Sarah S. Brayton Center,4901 North Main Street,Fall River,2720,Southcoast,,,,Nursing home,4901 north main street,sarah s brayton center,,5.0,POINT (-71.11356439219409 41.758923100000004)
,,Life Care Center of Attleboro,969 Park Street,Attleboro,2703,Metro West,,,,Nursing home,969 park street,life care center of attleboro,,2.0,POINT (-71.2611303145582 41.9266899)
,,EMERSON REHAB & TRANS CARE UNIT,133 OLD ROAD TO NINE ACRE CORNER,CONCORD,1742,,,,,Nursing home,133 old road to nine acre corner,emerson rehab  trans care unit,,7.0,POINT (-71.37498430207177 42.4518863)
,,"New Bedford Jewish Convalescent Home, Inc.",200 Hawthorn Street,New Bedford,2740,Southcoast,,,,Nursing home,200 hawthorn street,new bedford jewish convalescent home inc,,4.0,POINT (-70.93937104729301 41.6284153)
,,Academy Manor Rehab and Nursing,89 Morton Street,Andover,1810,Northeastern Massachusetts,,,,Nursing home,89 morton street,academy manor rehab and nursing,,9.0,POINT (-71.12857340697036 42.6551409)
,,Mary Immaculate Nursing & Restorative Center,172 Lawrence Street,Lawrence,1841,Northeastern Massachusetts,,,,Nursing home,172 lawrence street,mary immaculate nursing  restorative center,,8.0,POINT (-71.1639172 42.7138132)
,,Marian Manor of Taunton,33 Summer Street,Taunton,2780,Metro South,,,,Nursing home,33 summer street,marian manor of taunton,,5.0,POINT (-71.08895606814966 41.9005416)
,,Brigham Health and Rehabilitation Center LLC,77 High Street,Newburyport,1950,Northeastern Massachusetts,,,,Nursing home,77 high street,brigham health and rehabilitation center llc,,3.0,POINT (-70.87001791778893 42.8055312)
,,Harbor House Nursing & Rehabilitation Center,11 Condito Road,Hingham,2043,Metro South,,,,Nursing home,11 condito road,harbor house nursing  rehabilitation center,,3.0,POINT (-70.90794848382282 42.25276265)
,,Alliance Health at West Acres,804 Pleasant Street,Brockton,2301,Metro South,,,,Nursing home,804 pleasant street,alliance health at west acres,,9.0,POINT (-71.05285860302956 42.08723215)
,,Day Brook Village Senior Living,298 Jarvis Avenue,Holyoke,1040,Western Massachusetts,,,,Nursing home,298 jarvis avenue,day brook village senior living,,6.0,POINT (-72.6430892731527 42.2087949)
,,Ayer Valley Rehab and Nursing,400 Groton Road,Ayer,1432,Northeastern Massachusetts,,,,Nursing home,400 groton road,ayer valley rehab and nursing,,4.0,POINT (-71.57330246249202 42.5782142)
,,Brighton House Rehabilitation & Nursing Center,170 Corey Road,Boston,2135,Metro Boston,,,,Nursing home,170 corey road,brighton house rehabilitation  nursing center,,20.0,POINT (-71.14003855124017 42.3433093)
,,Marian Manor,130 Dorchester Street,Boston,2127,Metro Boston,,,,Nursing home,130 dorchester street,marian manor,,23.0,POINT (-71.04707911220729 42.3342578)
,,Mayflower Place Nursing and Rehabilitation Center,579 Buck Island Road,Yarmouth,2673,Cape and Islands,,,,Nursing home,579 buck island road,mayflower place nursing and rehabilitation center,,1.0,POINT (-70.25941871362551 41.66062725)
,,Northwood Rehabilitation & Healthcare Center,1010 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,,,,Nursing home,1010 varnum avenue,northwood rehabilitation  healthcare center,,3.0,POINT (-71.36626685573418 42.6422606)
,,Life Care Center of Auburn,14 Masonic Circle,Auburn,1501,Central Massachusetts,,,,Nursing home,14 masonic circle,life care center of auburn,,4.0,POINT (-71.87094423557448 42.18199945)
,,RegalCare at Harwich,111 Headwaters Drive,Harwich,2645,Cape and Islands,,,,Nursing home,111 headwaters drive,regalcare at harwich,,1.0,POINT (-70.08904355 41.705945549999996)
,,Countryside Health Care of Milford,One Countryside Drive,Milford,1757,Metro West,,,,Nursing home,one countryside drive,countryside health care of milford,,2.0,POINT (-71.55337 42.15467)
,,Medway Country Manor Skilled Nursing & Rehab,115 Holliston Street,Medway,2053,Metro West,,,,Nursing home,115 holliston street,medway country manor skilled nursing  rehab,,5.0,POINT (-71.41067830029175 42.158983899999996)
,,AdviniaCare Natick,168 West Central Street,Natick,1760,Metro West,,,,Nursing home,168 west central street,adviniacare natick,,5.0,POINT (-71.37898579435048 42.282113100000004)
,,Lutheran Rehabilitation & Skilled Care Center,26 Harvard Street,Worcester,1609,Central Massachusetts,,,,Nursing home,26 harvard street,lutheran rehabilitation  skilled care center,,6.0,POINT (-71.80216819479543 42.2688376)
,,Southbridge Rehabilitation & Health Care Center,84 Chapin Street,Southbridge,1550,Central Massachusetts,,,,Nursing home,84 chapin street,southbridge rehabilitation  health care center,,1.0,POINT (-72.03709326666669 42.073771750000006)
,,Victoria Haven Nursing Facility,137 Nichols Street,Norwood,2062,Metro West,,,,Nursing home,137 nichols street,victoria haven nursing facility,,9.0,POINT (-71.20868232395514 42.1930792)
,,Agawam East Rehab and Nursing,464 Main Street,Agawam,1001,Western Massachusetts,,,,Nursing home,464 main street,agawam east rehab and nursing,,5.0,POINT (-72.62026217030348 42.07695165)
,,The Bostonian Nursing Care & Rehabilitation Center,337 Neponset Avenue,Boston,2122,Metro Boston,,,,Nursing home,337 neponset avenue,the bostonian nursing care  rehabilitation center,,23.0,POINT (-71.0470691675753 42.2875144)
,,Rehabilitation & Nursing Center at Everett,289 Elm Street,Everett,2149,Metro Boston,,,,Nursing home,289 elm street,rehabilitation  nursing center at everett,,19.0,POINT (-71.03442166270466 42.414449950000005)
,,Hellenic Nursing & Rehabilitation Center,601 Sherman Street,Canton,2021,Metro West,,,,Nursing home,601 sherman street,hellenic nursing  rehabilitation center,,10.0,POINT (-71.15024107129324 42.1635341)
,,Mattapan Health and Rehabilitation Center,405 River Street,Boston,2126,Metro Boston,,,,Nursing home,405 river street,mattapan health and rehabilitation center,,19.0,POINT (-71.09061872585616 42.2699017)
,,Quaboag Rehabilitation & Skilled Care Facility,47 East Main Street,West Brookfield,1585,Western Massachusetts,,,,Nursing home,47 east main street,quaboag rehabilitation  skilled care facility,,2.0,POINT (-72.13803392186662 42.23520005)
